epoch,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,wall_time
1,0.047691,0.045413,0.045650,0.043421,0.047689,0.068287,0.051007,0.049013,0.048886,0.059716,0.190331,0.149471,0.153424,2176.96
2,0.042954,0.038643,0.039251,0.036195,0.041949,0.067413,0.047136,0.043413,0.042729,0.053624,0.208082,0.159071,0.179538,4486.27
3,0.040867,0.034569,0.035570,0.031673,0.037934,0.065569,0.045617,0.040785,0.039906,0.050628,0.217987,0.161788,0.197107,6792.37
4,0.039517,0.032388,0.033101,0.028939,0.035626,0.066028,0.045571,0.040501,0.039206,0.051126,0.215787,0.165977,0.206233,9098.04
5,0.038150,0.030734,0.031187,0.026716,0.033755,0.066343,0.046070,0.039358,0.037941,0.051934,0.214450,0.171343,0.212019,11402.48
6,0.037264,0.029380,0.029732,0.025048,0.032242,0.068063,0.047188,0.039199,0.037606,0.052622,0.214666,0.172637,0.214354,13707.34
7,0.036210,0.028131,0.028517,0.024218,0.031901,0.069785,0.048133,0.039410,0.037746,0.053648,0.213051,0.174606,0.214644,16011.37
8,0.035498,0.027406,0.027719,0.023640,0.031537,0.070762,0.049406,0.039954,0.038095,0.054103,0.209498,0.177256,0.215127,18314.16
9,0.035112,0.026980,0.027124,0.023208,0.031302,0.071732,0.050055,0.039970,0.037817,0.054198,0.208254,0.179776,0.214472,20615.59
10,0.034950,0.026825,0.026924,0.023172,0.031371,0.072212,0.050507,0.040158,0.037922,0.054327,0.207460,0.179984,0.214187,22919.57
