step,epoch,batch_idx,loss,lr,wall_time
50,1,49,6.864655,5.000000e-05,60.92
100,1,99,2.947784,1.000000e-04,92.47
150,1,149,2.362755,1.500000e-04,122.98
200,1,199,0.946026,2.000000e-04,153.09
250,1,249,0.587462,2.500000e-04,183.38
300,1,299,0.449461,3.000000e-04,213.99
350,1,349,0.406089,3.500000e-04,244.10
400,1,399,0.337889,4.000000e-04,274.08
450,1,449,0.305561,4.500000e-04,304.39
500,1,499,0.294192,5.000000e-04,334.65
550,1,549,0.294958,4.992894e-04,365.02
600,1,599,0.287619,4.985787e-04,395.19
650,1,649,0.244404,4.978681e-04,425.16
700,1,699,0.237197,4.971575e-04,455.14
750,1,749,0.216017,4.964468e-04,485.23
800,1,799,0.240166,4.957362e-04,515.19
850,1,849,0.208012,4.950256e-04,545.16
900,1,899,0.199722,4.943150e-04,575.43
950,1,949,0.191555,4.936043e-04,605.86
1000,1,999,0.184841,4.928937e-04,636.14
1050,1,1049,0.184416,4.921831e-04,666.24
1100,1,1099,0.186730,4.914724e-04,696.35
1150,1,1149,0.179367,4.907618e-04,726.10
1200,1,1199,0.180380,4.900512e-04,756.23
1250,1,1249,0.166979,4.893405e-04,786.43
1300,1,1299,0.163925,4.886299e-04,816.47
1350,1,1349,0.163517,4.879193e-04,846.69
1400,1,1399,0.167341,4.872086e-04,876.60
1450,1,1449,0.162922,4.864980e-04,906.67
1500,1,1499,0.160787,4.857874e-04,936.80
1550,1,1549,0.154131,4.850767e-04,966.73
1600,1,1599,0.156095,4.843661e-04,996.65
1650,1,1649,0.148156,4.836555e-04,1026.69
1700,1,1699,0.147396,4.829449e-04,1056.58
1750,1,1749,0.146647,4.822342e-04,1086.48
1800,1,1799,0.144108,4.815236e-04,1116.44
1850,1,1849,0.150502,4.808130e-04,1146.06
1900,1,1899,0.136832,4.801023e-04,1176.23
1950,1,1949,0.160244,4.793917e-04,1206.22
2000,1,1999,0.154155,4.786811e-04,1235.92
2050,1,2049,0.153696,4.779704e-04,1265.95
2100,1,2099,0.142111,4.772598e-04,1295.71
2150,1,2149,0.156411,4.765492e-04,1325.17
2200,1,2199,0.149136,4.758385e-04,1355.26
2250,1,2249,0.142722,4.751279e-04,1385.40
2300,1,2299,0.141122,4.744173e-04,1415.38
2350,1,2349,0.143570,4.737067e-04,1445.56
2400,1,2399,0.130468,4.729960e-04,1475.72
2450,1,2449,0.135399,4.722854e-04,1505.88
2500,1,2499,0.140605,4.715748e-04,1536.21
2550,1,2549,0.138244,4.708641e-04,1566.20
2600,1,2599,0.131537,4.701535e-04,1596.13
2650,1,2649,0.133201,4.694429e-04,1626.16
2700,1,2699,0.135932,4.687322e-04,1656.53
2750,1,2749,0.133883,4.680216e-04,1686.61
2800,1,2799,0.134565,4.673110e-04,1716.34
2850,1,2849,0.129355,4.666003e-04,1746.54
2900,1,2899,0.129972,4.658897e-04,1776.52
2950,1,2949,0.121825,4.651791e-04,1806.72
3000,1,2999,0.130110,4.644684e-04,1836.95
3050,1,3049,0.123875,4.637578e-04,1867.18
3100,1,3099,0.131899,4.630472e-04,1897.07
3150,1,3149,0.125613,4.623366e-04,1927.10
3200,1,3199,0.134629,4.616259e-04,1956.84
3250,1,3249,0.148913,4.609153e-04,1986.82
3300,1,3299,0.135886,4.602047e-04,2016.69
3350,1,3349,0.125568,4.594940e-04,2046.58
3400,1,3399,0.120105,4.587834e-04,2076.47
3450,1,3449,0.123048,4.580728e-04,2106.33
3500,1,3499,0.116356,4.573621e-04,2136.36
3550,1,3549,0.138498,4.566515e-04,2166.40
3568,1,3567,0.122991,4.563957e-04,2176.94
3600,2,31,0.124583,4.559409e-04,2366.01
3650,2,81,0.128297,4.552302e-04,2396.12
3700,2,131,0.109785,4.545196e-04,2426.33
3750,2,181,0.119094,4.538090e-04,2456.24
3800,2,231,0.112613,4.530984e-04,2486.32
3850,2,281,0.116002,4.523877e-04,2516.12
3900,2,331,0.119444,4.516771e-04,2546.03
3950,2,381,0.112987,4.509665e-04,2575.97
4000,2,431,0.107459,4.502558e-04,2606.03
4050,2,481,0.105613,4.495452e-04,2635.88
4100,2,531,0.119997,4.488346e-04,2665.72
4150,2,581,0.108842,4.481239e-04,2695.56
4200,2,631,0.106134,4.474133e-04,2725.55
4250,2,681,0.102941,4.467027e-04,2755.50
4300,2,731,0.113180,4.459920e-04,2785.37
4350,2,781,0.113123,4.452814e-04,2815.56
4400,2,831,0.114535,4.445708e-04,2845.24
4450,2,881,0.117416,4.438601e-04,2875.10
4500,2,931,0.103447,4.431495e-04,2905.12
4550,2,981,0.112656,4.424389e-04,2935.13
4600,2,1031,0.116684,4.417283e-04,2964.95
4650,2,1081,0.113705,4.410176e-04,2995.09
4700,2,1131,0.102686,4.403070e-04,3025.38
4750,2,1181,0.105538,4.395964e-04,3055.12
4800,2,1231,0.109111,4.388857e-04,3085.34
4850,2,1281,0.110945,4.381751e-04,3115.57
4900,2,1331,0.117177,4.374645e-04,3145.63
4950,2,1381,0.107066,4.367538e-04,3175.34
5000,2,1431,0.105826,4.360432e-04,3205.55
5050,2,1481,0.126037,4.353326e-04,3235.73
5100,2,1531,0.108646,4.346219e-04,3265.46
5150,2,1581,0.102921,4.339113e-04,3295.51
5200,2,1631,0.111664,4.332007e-04,3325.48
5250,2,1681,0.109565,4.324901e-04,3355.51
5300,2,1731,0.099001,4.317794e-04,3385.30
5350,2,1781,0.104924,4.310688e-04,3415.31
5400,2,1831,0.105769,4.303582e-04,3445.50
5450,2,1881,0.101694,4.296475e-04,3475.52
5500,2,1931,0.105025,4.289369e-04,3505.60
5550,2,1981,0.117181,4.282263e-04,3535.72
5600,2,2031,0.104744,4.275156e-04,3565.81
5650,2,2081,0.108059,4.268050e-04,3595.77
5700,2,2131,0.105702,4.260944e-04,3625.67
5750,2,2181,0.111419,4.253837e-04,3655.71
5800,2,2231,0.100158,4.246731e-04,3685.56
5850,2,2281,0.105632,4.239625e-04,3715.35
5900,2,2331,0.107338,4.232518e-04,3745.31
5950,2,2381,0.105525,4.225412e-04,3775.30
6000,2,2431,0.115316,4.218306e-04,3805.44
6050,2,2481,0.104394,4.211200e-04,3835.31
6100,2,2531,0.107795,4.204093e-04,3865.26
6150,2,2581,0.116244,4.196987e-04,3895.19
6200,2,2631,0.107258,4.189881e-04,3925.14
6250,2,2681,0.106636,4.182774e-04,3955.54
6300,2,2731,0.105570,4.175668e-04,3985.56
6350,2,2781,0.109854,4.168562e-04,4015.62
6400,2,2831,0.098672,4.161455e-04,4045.35
6450,2,2881,0.110702,4.154349e-04,4075.45
6500,2,2931,0.112693,4.147243e-04,4105.49
6550,2,2981,0.099141,4.140136e-04,4135.20
6600,2,3031,0.096473,4.133030e-04,4165.27
6650,2,3081,0.104898,4.125924e-04,4195.21
6700,2,3131,0.110813,4.118818e-04,4225.05
6750,2,3181,0.105052,4.111711e-04,4255.17
6800,2,3231,0.087137,4.104605e-04,4284.99
6850,2,3281,0.108359,4.097499e-04,4315.03
6900,2,3331,0.099104,4.090392e-04,4345.05
6950,2,3381,0.105378,4.083286e-04,4375.06
7000,2,3431,0.102571,4.076180e-04,4405.11
7050,2,3481,0.099688,4.069073e-04,4435.15
7100,2,3531,0.100335,4.061967e-04,4464.98
7136,2,3567,0.100163,4.056850e-04,4486.27
7150,3,13,0.090402,4.054861e-04,4661.69
7200,3,63,0.087995,4.047754e-04,4691.80
7250,3,113,0.100192,4.040648e-04,4721.79
7300,3,163,0.087499,4.033542e-04,4751.83
7350,3,213,0.091820,4.026435e-04,4781.97
7400,3,263,0.089160,4.019329e-04,4811.75
7450,3,313,0.093712,4.012223e-04,4841.60
7500,3,363,0.090384,4.005117e-04,4871.40
7550,3,413,0.084715,3.998010e-04,4901.26
7600,3,463,0.099690,3.990904e-04,4931.24
7650,3,513,0.083131,3.983798e-04,4961.19
7700,3,563,0.090339,3.976691e-04,4991.23
7750,3,613,0.095454,3.969585e-04,5021.17
7800,3,663,0.104891,3.962479e-04,5051.28
7850,3,713,0.098444,3.955372e-04,5081.08
7900,3,763,0.093988,3.948266e-04,5110.95
7950,3,813,0.094304,3.941160e-04,5140.94
8000,3,863,0.097486,3.934053e-04,5170.89
8050,3,913,0.085153,3.926947e-04,5200.93
8100,3,963,0.103377,3.919841e-04,5231.27
8150,3,1013,0.086284,3.912735e-04,5261.10
8200,3,1063,0.084287,3.905628e-04,5290.88
8250,3,1113,0.088967,3.898522e-04,5320.75
8300,3,1163,0.089212,3.891416e-04,5350.45
8350,3,1213,0.089360,3.884309e-04,5380.33
8400,3,1263,0.094468,3.877203e-04,5410.61
8450,3,1313,0.091921,3.870097e-04,5440.71
8500,3,1363,0.100256,3.862990e-04,5470.42
8550,3,1413,0.081376,3.855884e-04,5500.77
8600,3,1463,0.108947,3.848778e-04,5530.57
8650,3,1513,0.087470,3.841671e-04,5560.51
8700,3,1563,0.094943,3.834565e-04,5590.72
8750,3,1613,0.086753,3.827459e-04,5620.62
8800,3,1663,0.093086,3.820352e-04,5650.60
8850,3,1713,0.087515,3.813246e-04,5680.40
8900,3,1763,0.097971,3.806140e-04,5710.31
8950,3,1813,0.111346,3.799034e-04,5740.07
9000,3,1863,0.094091,3.791927e-04,5770.04
9050,3,1913,0.099833,3.784821e-04,5800.05
9100,3,1963,0.088277,3.777715e-04,5830.08
9150,3,2013,0.085066,3.770608e-04,5860.22
9200,3,2063,0.090378,3.763502e-04,5890.12
9250,3,2113,0.098390,3.756396e-04,5920.29
9300,3,2163,0.089864,3.749289e-04,5950.34
9350,3,2213,0.090136,3.742183e-04,5980.25
9400,3,2263,0.093319,3.735077e-04,6010.03
9450,3,2313,0.092502,3.727970e-04,6040.12
9500,3,2363,0.095709,3.720864e-04,6070.02
9550,3,2413,0.096001,3.713758e-04,6100.29
9600,3,2463,0.096940,3.706652e-04,6130.16
9650,3,2513,0.092786,3.699545e-04,6160.36
9700,3,2563,0.087511,3.692439e-04,6190.16
9750,3,2613,0.090406,3.685333e-04,6220.23
9800,3,2663,0.088757,3.678226e-04,6250.32
9850,3,2713,0.084470,3.671120e-04,6280.40
9900,3,2763,0.104167,3.664014e-04,6310.24
9950,3,2813,0.085788,3.656907e-04,6340.05
10000,3,2863,0.082400,3.649801e-04,6369.99
10050,3,2913,0.083165,3.642695e-04,6400.13
10100,3,2963,0.088342,3.635588e-04,6430.33
10150,3,3013,0.092409,3.628482e-04,6460.30
10200,3,3063,0.086445,3.621376e-04,6490.26
10250,3,3113,0.097485,3.614269e-04,6520.20
10300,3,3163,0.087870,3.607163e-04,6550.05
10350,3,3213,0.086398,3.600057e-04,6580.19
10400,3,3263,0.096669,3.592951e-04,6610.23
10450,3,3313,0.096586,3.585844e-04,6640.31
10500,3,3363,0.084799,3.578738e-04,6670.22
10550,3,3413,0.089944,3.571632e-04,6700.19
10600,3,3463,0.091226,3.564525e-04,6730.19
10650,3,3513,0.100328,3.557419e-04,6760.20
10700,3,3563,0.085779,3.550313e-04,6790.21
10704,3,3567,0.097835,3.549744e-04,6792.37
10750,4,45,0.086758,3.543206e-04,6986.62
10800,4,95,0.086432,3.536100e-04,7016.73
10850,4,145,0.078555,3.528994e-04,7046.86
10900,4,195,0.080675,3.521887e-04,7076.75
10950,4,245,0.077349,3.514781e-04,7106.51
11000,4,295,0.079269,3.507675e-04,7136.63
11050,4,345,0.076968,3.500569e-04,7166.83
11100,4,395,0.081909,3.493462e-04,7196.87
11150,4,445,0.073589,3.486356e-04,7226.83
11200,4,495,0.075872,3.479250e-04,7256.95
11250,4,545,0.081956,3.472143e-04,7286.86
11300,4,595,0.084851,3.465037e-04,7317.04
11350,4,645,0.074768,3.457931e-04,7347.33
11400,4,695,0.078833,3.450824e-04,7377.37
11450,4,745,0.085932,3.443718e-04,7407.39
11500,4,795,0.076377,3.436612e-04,7437.22
11550,4,845,0.071075,3.429505e-04,7467.04
11600,4,895,0.077186,3.422399e-04,7497.15
11650,4,945,0.081565,3.415293e-04,7527.39
11700,4,995,0.069681,3.408186e-04,7557.21
11750,4,1045,0.081013,3.401080e-04,7587.24
11800,4,1095,0.076392,3.393974e-04,7617.00
11850,4,1145,0.081188,3.386868e-04,7646.92
11900,4,1195,0.083577,3.379761e-04,7676.92
11950,4,1245,0.084140,3.372655e-04,7706.79
12000,4,1295,0.078139,3.365549e-04,7736.70
12050,4,1345,0.092397,3.358442e-04,7766.60
12100,4,1395,0.090961,3.351336e-04,7796.76
12150,4,1445,0.078515,3.344230e-04,7826.59
12200,4,1495,0.093442,3.337123e-04,7856.42
12250,4,1545,0.079425,3.330017e-04,7886.24
12300,4,1595,0.081976,3.322911e-04,7916.26
12350,4,1645,0.088495,3.315804e-04,7945.90
12400,4,1695,0.081572,3.308698e-04,7975.94
12450,4,1745,0.083061,3.301592e-04,8005.69
12500,4,1795,0.081227,3.294486e-04,8035.63
12550,4,1845,0.083804,3.287379e-04,8065.48
12600,4,1895,0.080687,3.280273e-04,8095.52
12650,4,1945,0.078789,3.273167e-04,8125.67
12700,4,1995,0.080216,3.266060e-04,8155.49
12750,4,2045,0.083129,3.258954e-04,8185.40
12800,4,2095,0.076846,3.251848e-04,8215.07
12850,4,2145,0.079589,3.244741e-04,8244.88
12900,4,2195,0.083239,3.237635e-04,8274.74
12950,4,2245,0.087742,3.230529e-04,8304.61
13000,4,2295,0.083736,3.223422e-04,8334.52
13050,4,2345,0.075198,3.216316e-04,8364.53
13100,4,2395,0.086626,3.209210e-04,8394.71
13150,4,2445,0.088236,3.202103e-04,8424.45
13200,4,2495,0.077911,3.194997e-04,8454.55
13250,4,2545,0.081678,3.187891e-04,8484.71
13300,4,2595,0.081003,3.180785e-04,8514.74
13350,4,2645,0.085143,3.173678e-04,8544.81
13400,4,2695,0.084635,3.166572e-04,8575.01
13450,4,2745,0.076009,3.159466e-04,8604.82
13500,4,2795,0.085244,3.152359e-04,8635.08
13550,4,2845,0.086946,3.145253e-04,8665.05
13600,4,2895,0.078101,3.138147e-04,8695.12
13650,4,2945,0.078600,3.131040e-04,8725.23
13700,4,2995,0.079273,3.123934e-04,8755.17
13750,4,3045,0.070285,3.116828e-04,8784.89
13800,4,3095,0.073401,3.109721e-04,8814.74
13850,4,3145,0.077076,3.102615e-04,8844.85
13900,4,3195,0.074502,3.095509e-04,8874.87
13950,4,3245,0.081433,3.088403e-04,8904.75
14000,4,3295,0.073503,3.081296e-04,8934.94
14050,4,3345,0.076253,3.074190e-04,8965.03
14100,4,3395,0.081678,3.067084e-04,8994.95
14150,4,3445,0.086352,3.059977e-04,9024.98
14200,4,3495,0.081640,3.052871e-04,9055.03
14250,4,3545,0.084693,3.045765e-04,9085.06
14272,4,3567,0.078954,3.042638e-04,9098.04
14300,5,27,0.069875,3.038658e-04,9281.65
14350,5,77,0.066928,3.031552e-04,9311.48
14400,5,127,0.077298,3.024446e-04,9341.38
14450,5,177,0.064481,3.017339e-04,9371.38
14500,5,227,0.069639,3.010233e-04,9401.08
14550,5,277,0.061951,3.003127e-04,9431.13
14600,5,327,0.069083,2.996020e-04,9461.08
14650,5,377,0.076548,2.988914e-04,9491.36
14700,5,427,0.069590,2.981808e-04,9521.13
14750,5,477,0.071792,2.974702e-04,9550.98
14800,5,527,0.061826,2.967595e-04,9581.09
14850,5,577,0.075048,2.960489e-04,9611.15
14900,5,627,0.069699,2.953383e-04,9641.17
14950,5,677,0.069865,2.946276e-04,9671.12
15000,5,727,0.065508,2.939170e-04,9701.10
15050,5,777,0.071008,2.932064e-04,9730.93
15100,5,827,0.069817,2.924957e-04,9761.00
15150,5,877,0.069054,2.917851e-04,9790.68
15200,5,927,0.072837,2.910745e-04,9820.64
15250,5,977,0.074645,2.903638e-04,9850.51
15300,5,1027,0.077223,2.896532e-04,9880.19
15350,5,1077,0.066274,2.889426e-04,9910.24
15400,5,1127,0.067623,2.882319e-04,9940.02
15450,5,1177,0.068370,2.875213e-04,9970.01
15500,5,1227,0.075280,2.868107e-04,10000.06
15550,5,1277,0.069938,2.861001e-04,10030.06
15600,5,1327,0.067342,2.853894e-04,10060.04
15650,5,1377,0.075184,2.846788e-04,10090.05
15700,5,1427,0.072172,2.839682e-04,10119.81
15750,5,1477,0.075136,2.832575e-04,10149.53
15800,5,1527,0.067887,2.825469e-04,10179.72
15850,5,1577,0.063730,2.818363e-04,10209.45
15900,5,1627,0.073284,2.811256e-04,10239.62
15950,5,1677,0.075841,2.804150e-04,10269.57
16000,5,1727,0.072680,2.797044e-04,10299.66
16050,5,1777,0.068722,2.789937e-04,10329.59
16100,5,1827,0.077175,2.782831e-04,10359.50
16150,5,1877,0.072071,2.775725e-04,10389.29
16200,5,1927,0.062226,2.768619e-04,10419.18
16250,5,1977,0.074727,2.761512e-04,10449.16
16300,5,2027,0.072192,2.754406e-04,10479.33
16350,5,2077,0.067011,2.747300e-04,10509.20
16400,5,2127,0.062105,2.740193e-04,10539.24
16450,5,2177,0.070400,2.733087e-04,10569.10
16500,5,2227,0.075353,2.725981e-04,10599.07
16550,5,2277,0.075758,2.718874e-04,10629.11
16600,5,2327,0.076028,2.711768e-04,10659.10
16650,5,2377,0.060306,2.704662e-04,10689.22
16700,5,2427,0.071498,2.697555e-04,10719.59
16750,5,2477,0.079167,2.690449e-04,10749.55
16800,5,2527,0.064522,2.683343e-04,10779.80
16850,5,2577,0.073355,2.676236e-04,10809.85
16900,5,2627,0.073402,2.669130e-04,10839.61
16950,5,2677,0.069372,2.662024e-04,10869.49
17000,5,2727,0.069164,2.654918e-04,10899.37
17050,5,2777,0.074732,2.647811e-04,10929.67
17100,5,2827,0.072345,2.640705e-04,10959.75
17150,5,2877,0.069750,2.633599e-04,10989.52
17200,5,2927,0.071279,2.626492e-04,11019.37
17250,5,2977,0.063108,2.619386e-04,11049.37
17300,5,3027,0.066755,2.612280e-04,11079.45
17350,5,3077,0.068707,2.605173e-04,11109.35
17400,5,3127,0.066107,2.598067e-04,11139.46
17450,5,3177,0.075109,2.590961e-04,11169.23
17500,5,3227,0.070935,2.583854e-04,11199.23
17550,5,3277,0.065505,2.576748e-04,11229.34
17600,5,3327,0.069466,2.569642e-04,11259.48
17650,5,3377,0.071234,2.562536e-04,11289.24
17700,5,3427,0.074812,2.555429e-04,11318.81
17750,5,3477,0.071876,2.548323e-04,11348.71
17800,5,3527,0.067651,2.541217e-04,11378.61
17840,5,3567,0.075583,2.535532e-04,11402.48
17850,6,9,0.073094,2.534110e-04,11575.06
17900,6,59,0.063478,2.527004e-04,11604.96
17950,6,109,0.063795,2.519898e-04,11634.90
18000,6,159,0.061540,2.512791e-04,11665.03
18050,6,209,0.059041,2.505685e-04,11694.91
18100,6,259,0.058717,2.498579e-04,11724.75
18150,6,309,0.063123,2.491472e-04,11754.88
18200,6,359,0.055126,2.484366e-04,11784.68
18250,6,409,0.063995,2.477260e-04,11814.84
18300,6,459,0.069394,2.470153e-04,11844.81
18350,6,509,0.067105,2.463047e-04,11875.11
18400,6,559,0.059598,2.455941e-04,11904.97
18450,6,609,0.068142,2.448835e-04,11935.12
18500,6,659,0.053155,2.441728e-04,11965.14
18550,6,709,0.068324,2.434622e-04,11995.06
18600,6,759,0.067743,2.427516e-04,12025.06
18650,6,809,0.064804,2.420409e-04,12055.27
18700,6,859,0.064097,2.413303e-04,12085.02
18750,6,909,0.061299,2.406197e-04,12114.98
18800,6,959,0.062133,2.399090e-04,12144.99
18850,6,1009,0.066398,2.391984e-04,12174.79
18900,6,1059,0.058250,2.384878e-04,12204.80
18950,6,1109,0.065663,2.377771e-04,12234.70
19000,6,1159,0.068016,2.370665e-04,12264.49
19050,6,1209,0.058233,2.363559e-04,12294.29
19100,6,1259,0.070889,2.356453e-04,12324.15
19150,6,1309,0.058626,2.349346e-04,12354.21
19200,6,1359,0.061530,2.342240e-04,12384.04
19250,6,1409,0.060472,2.335134e-04,12413.90
19300,6,1459,0.056705,2.328027e-04,12443.72
19350,6,1509,0.061748,2.320921e-04,12473.61
19400,6,1559,0.062067,2.313815e-04,12503.50
19450,6,1609,0.060857,2.306708e-04,12533.34
19500,6,1659,0.065757,2.299602e-04,12563.33
19550,6,1709,0.068431,2.292496e-04,12593.30
19600,6,1759,0.063011,2.285389e-04,12623.23
19650,6,1809,0.055779,2.278283e-04,12653.45
19700,6,1859,0.057527,2.271177e-04,12683.55
19750,6,1909,0.062070,2.264070e-04,12713.71
19800,6,1959,0.062586,2.256964e-04,12743.74
19850,6,2009,0.066574,2.249858e-04,12773.51
19900,6,2059,0.067418,2.242752e-04,12803.64
19950,6,2109,0.067955,2.235645e-04,12833.71
20000,6,2159,0.062982,2.228539e-04,12863.98
20050,6,2209,0.070265,2.221433e-04,12893.97
20100,6,2259,0.062868,2.214326e-04,12923.66
20150,6,2309,0.061850,2.207220e-04,12953.76
20200,6,2359,0.064042,2.200114e-04,12983.84
20250,6,2409,0.069967,2.193007e-04,13013.84
20300,6,2459,0.063563,2.185901e-04,13044.07
20350,6,2509,0.059800,2.178795e-04,13074.00
20400,6,2559,0.064837,2.171688e-04,13104.01
20450,6,2609,0.068650,2.164582e-04,13133.87
20500,6,2659,0.060225,2.157476e-04,13163.68
20550,6,2709,0.058982,2.150370e-04,13193.61
20600,6,2759,0.071919,2.143263e-04,13223.56
20650,6,2809,0.063075,2.136157e-04,13253.42
20700,6,2859,0.061250,2.129051e-04,13283.39
20750,6,2909,0.065060,2.121944e-04,13313.34
20800,6,2959,0.056744,2.114838e-04,13343.24
20850,6,3009,0.056741,2.107732e-04,13373.31
20900,6,3059,0.061775,2.100625e-04,13403.21
20950,6,3109,0.065265,2.093519e-04,13433.26
21000,6,3159,0.069008,2.086413e-04,13463.29
21050,6,3209,0.070640,2.079306e-04,13493.13
21100,6,3259,0.062383,2.072200e-04,13523.19
21150,6,3309,0.066521,2.065094e-04,13553.29
21200,6,3359,0.060845,2.057987e-04,13583.16
21250,6,3409,0.057949,2.050881e-04,13612.96
21300,6,3459,0.066240,2.043775e-04,13642.92
21350,6,3509,0.067810,2.036669e-04,13672.78
21400,6,3559,0.057504,2.029562e-04,13702.77
21408,6,3567,0.067894,2.028425e-04,13707.34
21450,7,41,0.052588,2.022456e-04,13899.18
21500,7,91,0.057588,2.015350e-04,13929.13
21550,7,141,0.051211,2.008243e-04,13959.16
21600,7,191,0.053993,2.001137e-04,13989.05
21650,7,241,0.058004,1.994031e-04,14018.98
21700,7,291,0.060472,1.986924e-04,14048.60
21750,7,341,0.055536,1.979818e-04,14078.74
21800,7,391,0.055284,1.972712e-04,14108.60
