step,epoch,batch_idx,loss,lr,wall_time
50,1,49,7.181950,5.000000e-05,62.53
100,1,99,2.954965,1.000000e-04,93.77
150,1,149,2.853618,1.500000e-04,123.70
200,1,199,2.396694,2.000000e-04,153.29
250,1,249,0.933774,2.500000e-04,183.03
300,1,299,0.535734,3.000000e-04,212.92
350,1,349,0.477312,3.500000e-04,242.54
400,1,399,0.380101,4.000000e-04,272.00
450,1,449,0.351262,4.500000e-04,301.77
500,1,499,0.322406,5.000000e-04,331.55
550,1,549,0.345953,4.992894e-04,361.44
600,1,599,0.303319,4.985787e-04,392.25
650,1,649,0.291944,4.978681e-04,421.76
700,1,699,0.291472,4.971575e-04,451.28
750,1,749,0.254132,4.964468e-04,480.95
800,1,799,0.266360,4.957362e-04,510.48
850,1,849,0.222506,4.950256e-04,540.02
900,1,899,0.219889,4.943150e-04,569.85
950,1,949,0.194628,4.936043e-04,599.87
1000,1,999,0.206307,4.928937e-04,629.74
1050,1,1049,0.197820,4.921831e-04,659.42
1100,1,1099,0.199079,4.914724e-04,689.13
1150,1,1149,0.195849,4.907618e-04,718.46
1200,1,1199,0.190094,4.900512e-04,748.17
1250,1,1249,0.178925,4.893405e-04,777.95
1300,1,1299,0.178087,4.886299e-04,807.58
1350,1,1349,0.194092,4.879193e-04,837.38
1400,1,1399,0.189896,4.872086e-04,866.86
1450,1,1449,0.167644,4.864980e-04,896.49
1500,1,1499,0.170965,4.857874e-04,926.19
1550,1,1549,0.161912,4.850767e-04,955.73
1600,1,1599,0.170941,4.843661e-04,985.22
1650,1,1649,0.157004,4.836555e-04,1014.84
1700,1,1699,0.159947,4.829449e-04,1044.33
1750,1,1749,0.157939,4.822342e-04,1073.82
1800,1,1799,0.164236,4.815236e-04,1103.35
1850,1,1849,0.160962,4.808130e-04,1132.55
1900,1,1899,0.141415,4.801023e-04,1162.32
1950,1,1949,0.168639,4.793917e-04,1191.91
2000,1,1999,0.157756,4.786811e-04,1221.20
2050,1,2049,0.170856,4.779704e-04,1250.82
2100,1,2099,0.172397,4.772598e-04,1280.18
2150,1,2149,0.178516,4.765492e-04,1309.23
2200,1,2199,0.161770,4.758385e-04,1338.92
2250,1,2249,0.152903,4.751279e-04,1368.65
2300,1,2299,0.161875,4.744173e-04,1398.21
2350,1,2349,0.157287,4.737067e-04,1427.98
2400,1,2399,0.143548,4.729960e-04,1457.72
2450,1,2449,0.149149,4.722854e-04,1487.49
2500,1,2499,0.160183,4.715748e-04,1517.39
2550,1,2549,0.156774,4.708641e-04,1546.98
