1,0.3663,19.3898,5.5117,5.5277,19.3890
100,0.3283,16.4703,5.5254,5.4990,3.5368
200,0.3474,7.7748,5.5059,5.3168,1.2957
300,0.3172,3.3711,5.5312,5.3480,2.1308
400,0.2444,1.8900,5.5059,4.8671,3.5549
500,0.1950,1.1097,5.4609,4.8839,2.9442
600,0.1538,0.7812,5.4980,5.6346,3.1285
700,0.1282,0.6563,5.3516,5.2385,2.8550
800,0.1150,0.5401,5.3535,5.3858,2.9213
900,0.1085,0.4736,5.2129,5.3038,3.0789
1000,0.1067,0.4712,5.0879,5.1933,3.0739
1100,0.1049,0.4082,5.1191,5.5104,3.1936
1200,0.1031,0.3376,5.0137,5.4038,3.1673
1300,0.1034,0.3731,4.8926,5.4880,3.3165
1400,0.1047,0.3653,4.7754,5.4652,3.3194
1500,0.1045,0.3826,4.6973,5.4869,3.3751
1600,0.1043,0.3379,4.6934,5.4205,3.4149
1700,0.1057,0.4237,4.5156,5.4373,3.5220
1800,0.1056,0.3226,4.6465,5.4101,3.4766
1900,0.1058,0.2618,4.6992,5.5041,3.4866
2000,0.1063,0.3266,4.3662,5.4788,3.5050
2100,0.1083,0.2868,4.4961,5.6586,3.5551
2200,0.1083,0.2782,4.3760,5.5870,3.3696
2300,0.1081,0.3765,4.4727,5.4787,2.7355
2400,0.1123,0.2706,5.1816,5.5215,2.1431
2500,0.1109,0.2322,5.3613,5.4349,1.6846
2600,0.1133,0.3211,5.4629,5.5279,1.7441
2700,0.1130,0.3050,5.3906,5.4846,1.5080
2800,0.1136,0.3409,5.2988,5.3700,1.7058
2900,0.1137,0.3839,5.5352,5.3608,1.6759
3000,0.1094,0.3096,5.4160,5.4871,1.4867
3100,0.1107,0.2715,5.4395,5.5194,1.3574
3200,0.1123,0.3058,5.3418,5.4617,1.4919
3300,0.1087,0.3458,5.4590,5.4861,1.2582
3400,0.1111,0.2854,5.4941,5.4839,1.3373
3500,0.1106,0.2715,5.1836,5.4877,1.2858
3600,0.1085,0.2875,4.9971,5.4395,1.3724
3700,0.1108,0.3052,5.0459,5.5890,1.3834
3800,0.1086,0.2251,5.1318,5.4648,1.2802
3900,0.1106,0.2798,5.0400,5.5041,1.2973
4000,0.1101,0.2734,5.1680,5.4781,1.3301
4100,0.1099,0.2249,5.2061,5.3885,1.1577
4200,0.1143,0.2491,5.1543,5.3964,1.2196
4300,0.1088,0.2326,5.1934,5.5565,1.1905
4400,0.1103,0.2656,5.1719,5.4962,1.2100
4500,0.1108,0.2800,4.4814,5.3137,1.3985
4600,0.1084,0.2355,5.0078,5.4884,1.1600
4700,0.1102,0.2354,4.4468,5.3997,1.2781
4800,0.1092,0.2606,4.5967,5.3777,1.2472
4900,0.1082,0.2635,5.1465,5.4665,1.1643
5000,0.1100,0.2624,4.6621,5.4292,1.1957
5100,0.1103,0.2619,4.8574,5.4322,1.1459
5200,0.1110,0.2795,4.5713,5.4558,1.2261
5300,0.1112,0.2649,4.5439,5.5275,1.1941
5400,0.1090,0.2946,4.6343,5.5592,1.2056
5500,0.1116,0.2849,4.4961,5.4764,1.1251
5600,0.1086,0.2148,4.5518,5.4430,1.0974
5700,0.1133,0.2691,4.8662,5.4890,1.0764
5800,0.1076,0.2597,4.3008,5.4492,1.1016
5900,0.1114,0.2952,4.0229,5.4358,1.1581
6000,0.1108,0.2183,4.4941,5.4508,1.0265
6100,0.1094,0.2414,4.1562,5.4029,1.0148
6200,0.1116,0.2516,4.4883,5.4795,1.0258
6300,0.1111,0.2625,4.3945,5.4500,0.9805
6400,0.1106,0.2618,4.5908,5.4640,0.9951
6500,0.1138,0.3104,4.6045,5.5105,1.1143
6600,0.1131,0.3385,3.8867,5.3616,1.0863
6700,0.1109,0.2822,3.8149,5.4083,1.0701
6800,0.1119,0.2639,4.3330,5.3749,0.9680
6900,0.1119,0.3899,4.3867,5.4277,1.1065
7000,0.1109,0.2207,4.0020,5.4743,0.9347
7100,0.1116,0.2531,4.6562,5.4914,0.9247
7200,0.1117,0.2697,4.2129,5.5077,0.9101
7300,0.1114,0.2658,4.2461,5.3776,0.9682
7400,0.1103,0.2725,4.0830,5.3872,0.9238
7500,0.1116,0.2914,4.1982,5.4118,0.9572
7600,0.1103,0.3460,4.0356,5.4008,0.9977
7700,0.1126,0.2966,4.1631,5.4230,1.0266
7800,0.1143,0.3929,3.9922,5.4235,1.0751
7900,0.1116,0.2684,4.4463,5.3751,0.8965
8000,0.1124,0.2898,4.0352,5.4059,0.9549
8100,0.1120,0.2992,3.6533,5.3702,1.0198
8200,0.1114,0.3135,4.1553,5.3545,0.9459
8300,0.1105,0.4083,3.8442,5.4010,1.0822
8400,0.1136,0.2823,3.8354,5.3749,0.9187
8500,0.1114,0.2918,3.9570,5.3834,0.9535
8600,0.1096,0.2388,3.9673,5.3363,0.8448
8700,0.1115,0.3034,4.3145,5.3377,0.9004
8800,0.1119,0.3086,3.6360,5.3910,0.9643
8900,0.1122,0.2423,3.7808,5.3033,0.8586
9000,0.1116,0.2710,3.8975,5.4009,0.9203
9100,0.1111,0.3063,3.8828,5.4403,0.9323
9200,0.1118,0.3110,3.7036,5.3142,0.9588
9300,0.1130,0.3311,4.0684,5.3219,0.8821
9400,0.1112,0.3149,3.5483,5.4359,0.9518
9500,0.1099,0.3100,3.9150,5.3406,0.9070
9600,0.1110,0.3002,4.0146,5.3233,0.8852
