step,epoch,batch_idx,loss,lr,wall_time
6250,2,2859,0.085664,4.139222e-04,4252.84
6300,2,2909,0.087113,4.131737e-04,4281.17
6350,2,2959,0.093187,4.124251e-04,4309.74
6400,2,3009,0.100470,4.116766e-04,4338.11
6450,2,3059,0.095820,4.109281e-04,4366.59
6500,2,3109,0.093717,4.101796e-04,4395.28
6550,2,3159,0.088440,4.094311e-04,4423.47
6600,2,3209,0.095208,4.086826e-04,4452.02
6650,2,3259,0.080707,4.079341e-04,4480.45
6700,2,3309,0.081423,4.071856e-04,4509.04
6750,2,3359,0.092751,4.064371e-04,4537.19
6780,2,3389,0.091414,4.059880e-04,4553.68
6800,3,19,0.080577,4.056886e-04,4654.78
6850,3,69,0.078265,4.049401e-04,4683.35
6900,3,119,0.082016,4.041916e-04,4711.89
6950,3,169,0.076966,4.034431e-04,4740.22
7000,3,219,0.072256,4.026946e-04,4768.88
7050,3,269,0.079256,4.019461e-04,4797.45
7100,3,319,0.089603,4.011976e-04,4826.13
7150,3,369,0.082869,4.004491e-04,4854.73
7200,3,419,0.085878,3.997006e-04,4883.26
7250,3,469,0.080053,3.989521e-04,4911.75
7300,3,519,0.075629,3.982036e-04,4940.38
7350,3,569,0.083396,3.974551e-04,4968.63
7400,3,619,0.081041,3.967066e-04,4996.87
7450,3,669,0.079438,3.959581e-04,5025.22
7500,3,719,0.089388,3.952096e-04,5053.69
7550,3,769,0.086517,3.944611e-04,5082.18
7600,3,819,0.086135,3.937126e-04,5110.56
7650,3,869,0.083993,3.929641e-04,5139.07
7700,3,919,0.069963,3.922156e-04,5167.51
7750,3,969,0.084626,3.914671e-04,5196.23
7800,3,1019,0.084982,3.907186e-04,5224.57
7850,3,1069,0.077235,3.899701e-04,5252.98
7900,3,1119,0.090204,3.892216e-04,5281.35
7950,3,1169,0.077637,3.884731e-04,5309.84
8000,3,1219,0.072590,3.877246e-04,5338.44
8050,3,1269,0.076795,3.869760e-04,5366.77
8100,3,1319,0.083874,3.862275e-04,5395.32
8150,3,1369,0.090463,3.854790e-04,5423.73
8200,3,1419,0.073849,3.847305e-04,5452.42
8250,3,1469,0.071831,3.839820e-04,5480.91
8300,3,1519,0.088202,3.832335e-04,5509.32
8350,3,1569,0.078595,3.824850e-04,5537.61
8400,3,1619,0.080560,3.817365e-04,5566.30
8450,3,1669,0.072522,3.809880e-04,5594.79
8500,3,1719,0.078751,3.802395e-04,5623.22
8550,3,1769,0.084459,3.794910e-04,5651.85
8600,3,1819,0.076950,3.787425e-04,5680.19
8650,3,1869,0.070723,3.779940e-04,5709.18
8700,3,1919,0.080573,3.772455e-04,5737.54
8750,3,1969,0.077632,3.764970e-04,5766.19
8800,3,2019,0.078121,3.757485e-04,5794.51
8850,3,2069,0.078406,3.750000e-04,5823.33
8900,3,2119,0.076280,3.742515e-04,5851.92
8950,3,2169,0.077870,3.735030e-04,5880.28
9000,3,2219,0.075129,3.727545e-04,5908.83
9050,3,2269,0.082355,3.720060e-04,5937.36
9100,3,2319,0.082918,3.712575e-04,5965.91
9150,3,2369,0.080178,3.705090e-04,5994.31
9200,3,2419,0.071323,3.697605e-04,6022.60
9250,3,2469,0.075347,3.690120e-04,6051.29
9300,3,2519,0.073667,3.682635e-04,6079.78
9350,3,2569,0.075203,3.675150e-04,6108.26
9400,3,2619,0.081043,3.667665e-04,6136.66
9450,3,2669,0.076847,3.660180e-04,6165.06
9500,3,2719,0.079028,3.652695e-04,6193.60
9550,3,2769,0.081890,3.645210e-04,6221.90
9600,3,2819,0.080244,3.637725e-04,6250.57
9650,3,2869,0.072192,3.630240e-04,6279.03
9700,3,2919,0.078801,3.622754e-04,6307.52
