1,0.3663,19.3898,5.5117,5.5277,19.3890,0.5285
100,0.3311,16.5041,5.5254,5.5004,3.5374,0.5345
200,0.3510,7.9560,5.5039,5.3956,1.2926,0.5608
300,0.3267,3.2763,5.5293,5.5545,2.0849,0.3841
400,0.2468,1.7865,5.4844,5.9509,3.5065,0.2285
500,0.1863,0.9943,5.4512,5.5259,3.0014,0.1505
600,0.1502,0.7225,5.4570,5.5359,2.7334,0.0983
700,0.1358,0.6199,5.3281,5.5930,2.8552,0.0756
800,0.1294,0.5472,5.3320,5.5466,2.9927,0.0638
900,0.1271,0.5010,5.1992,5.5344,3.1127,0.0648
1000,0.1264,0.5089,5.0859,5.4928,3.0252,0.0627
1100,0.1256,0.4439,5.1152,5.5182,3.2375,0.0495
1200,0.1241,0.3846,5.0605,5.5099,3.2095,0.0499
1300,0.1253,0.4295,4.9805,5.5620,3.2746,0.0445
1400,0.1275,0.4217,4.9277,5.5333,3.3190,0.0472
1500,0.1286,0.4419,4.8965,5.4939,3.3824,0.0445
1600,0.1312,0.4028,4.9688,5.4809,3.4910,0.0365
1700,0.1368,0.4929,5.0078,5.5446,3.5737,0.0344
1800,0.1418,0.4009,5.3027,5.5265,3.0434,0.0345
1900,0.1466,0.3449,5.5137,5.5440,2.2184,0.0310
2000,0.1521,0.3772,5.7559,5.5274,1.6271,0.0306
2100,0.1533,0.3925,5.9043,5.5613,1.3132,0.0297
2200,0.1493,0.3575,5.8535,5.5703,1.2715,0.0325
2300,0.1432,0.4440,5.5996,5.4973,1.6817,0.0276
2400,0.1435,0.3664,5.5234,5.5613,1.3938,0.0269
2500,0.1382,0.3195,5.4258,5.5123,1.5263,0.0278
2600,0.1416,0.3961,5.4258,5.5369,1.5792,0.0222
2700,0.1415,0.3786,5.2910,5.5414,1.4549,0.0233
2800,0.1425,0.4265,5.2910,5.4652,1.4499,0.0227
2900,0.1425,0.4719,5.3125,5.5455,1.6124,0.0237
3000,0.1366,0.3946,5.0293,5.5315,1.2820,0.0210
3100,0.1379,0.3473,5.1611,5.5150,1.2991,0.0230
3200,0.1392,0.3945,5.2109,5.5075,1.2534,0.0216
3300,0.1349,0.4137,5.2285,5.5082,1.1430,0.0213
3400,0.1378,0.3573,5.1465,5.5287,1.1924,0.0231
3500,0.1368,0.3278,5.1387,5.5075,1.0445,0.0200
3600,0.1332,0.3496,4.8711,5.4895,1.1561,0.0186
3700,0.1363,0.3732,4.9307,5.5837,1.2005,0.0190
3800,0.1342,0.2866,4.9736,5.4916,1.0447,0.0193
3900,0.1355,0.3305,5.0840,5.5227,1.1163,0.0198
4000,0.1344,0.3509,5.1152,5.5445,1.0953,0.0183
4100,0.1340,0.2892,5.0645,5.4953,0.9878,0.0195
4200,0.1382,0.3259,5.0410,5.5419,0.9882,0.0188
4300,0.1312,0.2758,5.1758,5.5862,0.9905,0.0182
4400,0.1322,0.3285,5.0762,5.5379,1.0417,0.0164
4500,0.1326,0.3244,4.9189,5.4733,1.0922,0.0167
4600,0.1297,0.2896,5.2422,5.5402,1.0312,0.0153
4700,0.1323,0.2839,5.0488,5.5007,1.0012,0.0169
4800,0.1306,0.3230,5.1719,5.4833,1.0004,0.0170
4900,0.1283,0.3209,5.2715,5.4987,0.9826,0.0161
5000,0.1304,0.3139,5.1914,5.4899,0.9646,0.0162
5100,0.1296,0.3170,5.2227,5.5002,0.9713,0.0168
5200,0.1308,0.3269,5.0479,5.5077,0.9343,0.0173
5300,0.1305,0.3062,5.0205,5.5230,0.9509,0.0157
5400,0.1273,0.3476,5.0312,5.5286,1.0154,0.0141
5500,0.1300,0.3370,5.0586,5.5433,0.9087,0.0195
5600,0.1270,0.2461,4.9951,5.4862,0.8585,0.0141
5700,0.1309,0.3145,5.1230,5.5630,0.8973,0.0154
5800,0.1251,0.2912,4.9980,5.5205,0.9167,0.0143
5900,0.1285,0.3082,4.7188,5.5228,0.8795,0.0154
6000,0.1276,0.2434,4.9443,5.5257,0.8378,0.0157
6100,0.1255,0.2743,4.6582,5.5138,0.8257,0.0140
6200,0.1277,0.2765,4.9629,5.5401,0.8881,0.0165
6300,0.1276,0.2842,4.9111,5.5159,0.8697,0.0141
6400,0.1263,0.2647,4.9648,5.5066,0.8932,0.0136
6500,0.1295,0.3354,5.0000,5.5449,0.9486,0.0148
6600,0.1285,0.3510,4.7588,5.4684,0.9112,0.0162
6700,0.1260,0.2866,4.5820,5.5092,0.8591,0.0165
